Série,% Acertos,Disciplina,Conteúdo,Descritor
5º ANO A,50.0%,Matemática,Adição e subtração de frações com denominadores iguais (Q1),Identificar diferentes representações de um mesmo número racional.
5º ANO A,50.0%,Matemática,Adição e subtração de frações com denominadores iguais (Q2),Resolver problema com números racionais expressos na forma decimal envolvendo diferentes significados da adição ou subtração.
5º ANO B,60.0%,Matemática,Adição e subtração de frações com denominadores iguais (Q3),Identificar diferentes representações de um mesmo número racional.
5º ANO B,48.0%,Matemática,Adição e subtração de frações com denominadores iguais (Q4),Resolver problema com números racionais expressos na forma decimal envolvendo diferentes significados da adição ou subtração.
5º ANO B,48.0%,Matemática,Adição e subtração de frações com denominadores iguais (Q5),Resolver problema com números racionais expressos na forma decimal envolvendo diferentes significados da adição ou subtração.
5º ANO D,64.9%,Matemática,Adição e subtração de frações com denominadores iguais (Q6),Identificar diferentes representações de um mesmo número racional.
5º ANO D,66.7%,Matemática,Adição e subtração de frações com denominadores iguais (Q7),Resolver problema com números racionais expressos na forma decimal envolvendo diferentes significados da adição ou subtração.
5º ANO A,68.2%,Matemática,Ampliação e redução na malha quadriculada (Q1),"Reconhecer a conservação ou modificação de medidas dos lados, do perímetro, da área em ampliação e/ou redução de figuras poligonais usando malhas quadriculadas."
5º ANO B,40.0%,Matemática,Ampliação e redução na malha quadriculada (Q2),"Reconhecer a conservação ou modificação de medidas dos lados, do perímetro, da área em ampliação e/ou redução de figuras poligonais usando malhas quadriculadas."
5º ANO D,45.6%,Matemática,Ampliação e redução na malha quadriculada (Q3),"Reconhecer a conservação ou modificação de medidas dos lados, do perímetro, da área em ampliação e/ou redução de figuras poligonais usando malhas quadriculadas."
5º ANO A,68.2%,Matemática,Cálculo de área e perímetro (Q1),"Resolver problema envolvendo o cálculo ou estimativa de áreas de figuras planas, desenhadas em malhas quadriculadas."
5º ANO B,60.0%,Matemática,Cálculo de área e perímetro (Q2),"Resolver problema envolvendo o cálculo ou estimativa de áreas de figuras planas, desenhadas em malhas quadriculadas."
5º ANO D,61.4%,Matemática,Cálculo de área e perímetro (Q3),"Resolver problema envolvendo o cálculo ou estimativa de áreas de figuras planas, desenhadas em malhas quadriculadas."
5º ANO A,59.1%,Matemática,Características dos triângulos (Q1),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO B,48.0%,Matemática,Características dos triângulos (Q2),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO D,31.6%,Matemática,Características dos triângulos (Q3),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO A,77.3%,Matemática,Comparação entre números decimais (Q1),Identificar a localização de números racionais representados na forma decimal na reta numérica.
5º ANO B,84.0%,Matemática,Comparação entre números decimais (Q2),Identificar a localização de números racionais representados na forma decimal na reta numérica.
5º ANO D,66.7%,Matemática,Comparação entre números decimais (Q3),Identificar a localização de números racionais representados na forma decimal na reta numérica.
5º ANO A,54.5%,Matemática,Comparação entre números racionais (Q1),Identificar a localização de números racionais representados na forma decimal na reta numérica.
5º ANO B,34.0%,Matemática,Comparação entre números racionais (Q2),Identificar a localização de números racionais representados na forma decimal na reta numérica.
5º ANO D,49.1%,Matemática,Comparação entre números racionais (Q3),Identificar a localização de números racionais representados na forma decimal na reta numérica.
5º ANO A,25.0%,Matemática,Frações equivalentes (Q1),Reconhecer as diferentes representações de um número racional.
5º ANO B,24.0%,Matemática,Frações equivalentes (Q2),Reconhecer as diferentes representações de um número racional.
5º ANO D,22.8%,Matemática,Frações equivalentes (Q3),Reconhecer as diferentes representações de um número racional.
5º ANO A,81.8%,Matemática,Igualdade como equivalência (Q1),"Resolver problemas significativos utilizando unidades de medida padronizadas como km/m/ cm/mm, kg/g/mg, l/ml."
5º ANO B,80.0%,Matemática,Igualdade como equivalência (Q2),"Resolver problemas significativos utilizando unidades de medida padronizadas como km/m/ cm/mm, kg/g/mg, l/ml."
5º ANO D,59.6%,Matemática,Igualdade como equivalência (Q3),"Resolver problemas significativos utilizando unidades de medida padronizadas como km/m/ cm/mm, kg/g/mg, l/ml."
5º ANO A,90.9%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q1),Ler informações e dados apresentados em gráficos (particularmente em gráficos de colunas).
5º ANO A,68.2%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q2),Ler informações e dados apresentados em tabelas
5º ANO B,76.0%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q3),Ler informações e dados apresentados em gráficos (particularmente em gráficos de colunas).
5º ANO B,76.0%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q4),Ler informações e dados apresentados em tabelas
5º ANO D,89.5%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q5),Ler informações e dados apresentados em gráficos (particularmente em gráficos de colunas).
5º ANO D,77.2%,Matemática,Leitura e interpretação de gráficos e tabelas simples (Q6),Ler informações e dados apresentados em tabelas
5º ANO A,54.5%,Matemática,Perímetro (Q1),"Resolver problema envolvendo o cálculo do perímetro de figuras planas, desenhadas em malhas quadriculadas."
5º ANO B,54.0%,Matemática,Perímetro (Q2),"Resolver problema envolvendo o cálculo do perímetro de figuras planas, desenhadas em malhas quadriculadas."
5º ANO D,59.6%,Matemática,Perímetro (Q3),"Resolver problema envolvendo o cálculo do perímetro de figuras planas, desenhadas em malhas quadriculadas."
5º ANO A,36.4%,Matemática,Polígonos regulares e polígonos não regulares. (Q1),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO B,44.0%,Matemática,Polígonos regulares e polígonos não regulares. (Q2),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO D,28.1%,Matemática,Polígonos regulares e polígonos não regulares. (Q3),Identificar propriedades de triângulos pela comparação de medidas de lados e ângulos.
5º ANO A,63.6%,Matemática,Proporcionalidade (Q1),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO B,52.0%,Matemática,Proporcionalidade (Q2),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO D,77.2%,Matemática,Proporcionalidade (Q3),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO A,63.6%,Matemática,Relações de igualdade (Q1),Calcular o resultado de uma multiplicação ou divisão de números naturais.
5º ANO B,64.0%,Matemática,Relações de igualdade (Q2),Calcular o resultado de uma multiplicação ou divisão de números naturais.
5º ANO D,80.7%,Matemática,Relações de igualdade (Q3),Calcular o resultado de uma multiplicação ou divisão de números naturais.
5º ANO A,54.5%,Matemática,Situações-problema do campo multiplicativo. (Q1),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO B,56.0%,Matemática,Situações-problema do campo multiplicativo. (Q2),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."
5º ANO D,61.4%,Matemática,Situações-problema do campo multiplicativo. (Q3),"Resolver problema com números inteiros envolvendo as operações (adição, subtração, multiplicação, divisão, potenciação)."